"","player.name","type.name","location.x","location.y","cluster"
"26687","Jorge Resurrección Merodio","Pass",59,11,1
"26688","Aleksandr Samedov","Pass",66,76,2
"26689","Francisco Román Alarcón Suárez","Pass",56,10,3
"26690","Jorge Resurrección Merodio","Pass",42,24,1
"26691","Francisco Román Alarcón Suárez","Pass",57,5,3
"26692","Francisco Román Alarcón Suárez","Pass",71,14,3
"26693","Francisco Román Alarcón Suárez","Pass",86,7,3
"26694","David Josué Jiménez Silva","Pass",94,15,2
"26695","Francisco Román Alarcón Suárez","Dribble",103,4,3
"26696","Francisco Román Alarcón Suárez","Pass",90,1,3
"26697","Jorge Resurrección Merodio","Pass",73,44,1
"26698","Diego da Silva Costa","Pass",96,43,5
"26699","Francisco Román Alarcón Suárez","Shot",100,27,3
"26700","Francisco Román Alarcón Suárez","Pass",89,2,3
"26701","Francisco Román Alarcón Suárez","Pass",87,3,3
"26702","Francisco Román Alarcón Suárez","Pass",84,8,3
"26703","Sergio Busquets i Burgos","Pass",79,23,1
"26704","Jorge Resurrección Merodio","Pass",56,53,1
"26705","Diego da Silva Costa","Shot",117,51,5
"26706","Sergio Busquets i Burgos","Pass",92,17,1
"26707","David Josué Jiménez Silva","Pass",96,21,2
"26708","Sergio Busquets i Burgos","Pass",82,11,1
"26709","Jorge Resurrección Merodio","Pass",80,33,1
"26710","Francisco Román Alarcón Suárez","Pass",104,18,3
"26711","Diego da Silva Costa","Shot",113,47,5
"26712","Aleksandr Golovin","Pass",88,11,2
"26713","David Josué Jiménez Silva","Pass",57,60,2
"26714","Jorge Resurrección Merodio","Pass",55,48,1
"26715","Francisco Román Alarcón Suárez","Pass",67,6,3
"26716","Jorge Resurrección Merodio","Pass",66,52,1
"26717","David Josué Jiménez Silva","Pass",76,45,2
"26718","Francisco Román Alarcón Suárez","Pass",93,12,3
"26719","Artem Dzyuba","Pass",44,53,4
"26720","Aleksandr Golovin","Pass",61,40,2
"26721","Sergio Busquets i Burgos","Pass",23,14,1
"26722","David Josué Jiménez Silva","Pass",28,23,2
"26723","Roman Zobnin","Dribble",97,41,2
"26724","Roman Zobnin","Dribble",95,50,2
"26725","Roman Zobnin","Pass",93,56,2
"26726","Aleksandr Samedov","Pass",92,78,2
"26727","Diego da Silva Costa","Pass",41,3,5
"26728","Sergio Busquets i Burgos","Pass",35,15,1
"26729","Jorge Resurrección Merodio","Pass",57,55,1
"26730","Francisco Román Alarcón Suárez","Pass",86,5,3
"26731","Sergio Busquets i Burgos","Pass",72,27,1
"26732","Francisco Román Alarcón Suárez","Dribble",81,20,3
"26733","Francisco Román Alarcón Suárez","Pass",81,29,3
"26734","David Josué Jiménez Silva","Pass",91,29,2
"26735","Francisco Román Alarcón Suárez","Dribble",90,35,3
"26736","Francisco Román Alarcón Suárez","Pass",89,50,3
"26737","Marco Asensio Willemsen","Shot",111,47,3
"26738","Marco Asensio Willemsen","Pass",116,56,3
"26739","Roman Zobnin","Pass",77,16,2
"26740","Aleksandr Samedov","Pass",107,76,2
"26741","Aleksandr Samedov","Pass",109,78,2
"26742","Daler Kuzyaev","Pass",99,72,2
"26743","Aleksandr Samedov","Pass",109,78,2
"26744","Sergio Busquets i Burgos","Pass",22,24,1
"26745","Artem Dzyuba","Pass",106,14,4
"26746","Francisco Román Alarcón Suárez","Dribble",84,8,3
"26747","Francisco Román Alarcón Suárez","Pass",88,1,3
"26748","Francisco Román Alarcón Suárez","Pass",73,29,3
"26749","Marco Asensio Willemsen","Pass",88,77,3
"26750","Jorge Resurrección Merodio","Pass",85,68,1
"26751","Diego da Silva Costa","Shot",109,34,5
"26752","Francisco Román Alarcón Suárez","Pass",54,20,3
"26753","Francisco Román Alarcón Suárez","Pass",59,31,3
"26754","Jorge Resurrección Merodio","Pass",56,55,1
"26755","Jorge Resurrección Merodio","Pass",67,66,1
"26756","Francisco Román Alarcón Suárez","Pass",77,75,3
"26757","Jorge Resurrección Merodio","Pass",80,50,1
"26758","David Josué Jiménez Silva","Pass",87,15,2
"26759","Sergio Busquets i Burgos","Pass",79,13,1
"26760","Jorge Resurrección Merodio","Pass",67,28,1
"26761","Francisco Román Alarcón Suárez","Pass",80,44,3
"26762","Sergio Busquets i Burgos","Pass",81,21,1
"26763","Jorge Resurrección Merodio","Pass",76,42,1
"26764","Jorge Resurrección Merodio","Pass",73,41,1
"26765","Sergio Busquets i Burgos","Pass",72,45,1
"26766","David Josué Jiménez Silva","Pass",86,24,2
"26767","Marco Asensio Willemsen","Pass",99,68,3
"26768","Francisco Román Alarcón Suárez","Pass",115,24,3
"26769","Sergio Busquets i Burgos","Shot",97,33,1
"26770","Sergio Busquets i Burgos","Pass",43,29,1
"26771","David Josué Jiménez Silva","Pass",65,21,2
"26772","Marco Asensio Willemsen","Pass",91,14,3
"26773","Aleksandr Samedov","Pass",19,61,2
"26774","Jorge Resurrección Merodio","Pass",35,43,1
"26775","Sergio Busquets i Burgos","Pass",54,44,1
"26776","David Josué Jiménez Silva","Pass",62,34,2
"26777","Jorge Resurrección Merodio","Pass",64,54,1
"26778","Marco Asensio Willemsen","Pass",75,59,3
"26779","Jorge Resurrección Merodio","Pass",66,54,1
"26780","Francisco Román Alarcón Suárez","Pass",79,6,3
